_key,player_id,player_name,age_start,year_start,year_end,last_name
LeftBy00,LeftBy00,Byron Leftwich,23,2003,2012,Leftwich
LeinMa00,LeinMa00,Matt Leinart,23,2006,2012,Leinart
LiskPe00,LiskPe00,Pete Liske,28,1970,1972,Liske
LiviMi00,LiviMi00,Mike Livingston,25,1970,1979,Livingston
LockDr00,LockDr00,Drew Lock,23,2019,2021,Lock
LockJa00,LockJa00,Jake Locker,23,2011,2014,Locker
LomaNe00,LomaNe00,Neil Lomax,22,1981,1988,Lomax
LongCh00,LongCh00,Chuck Long,23,1986,1990,Long
LosmJ.00,LosmJ.00,J.P. Losman,23,2004,2011,Losman
LuckAn00,LuckAn00,Andrew Luck,23,2012,2018,Luck
MaddTo00,MaddTo00,Tommy Maddox,21,1992,2005,Maddox
MahoPa00,MahoPa00,Patrick Mahomes,22,2017,2021,Mahomes
MajkDo00,MajkDo00,Don Majkowski,23,1987,1996,Majkowski
MaloMa00,MaloMa00,Mark Malone,23,1981,1989,Malone
MannAr00,MannAr00,Archie Manning,22,1971,1984,Manning
MannEl00,MannEl00,Eli Manning,23,2004,2019,Manning
MannPe00,MannPe00,Peyton Manning,22,1998,2015,Manning
ManuEJ00,ManuEJ00,EJ Manuel,23,2013,2017,Manuel
MariDa00,MariDa00,Dan Marino,22,1983,1999,Marino
MariMa01,MariMa01,Marcus Mariota,22,2015,2021,Mariota
MartJa00,MartJa00,Jamie Martin,26,1996,2006,Martin
MattSh00,MattSh00,Shane Matthews,26,1996,2004,Matthews
MayfBa00,MayfBa00,Baker Mayfield,23,2018,2021,Mayfield
McCoCo00,McCoCo00,Colt McCoy,24,2010,2021,McCoy
McCoJo01,McCoJo01,Josh McCown,23,2002,2019,McCown
McDoPa00,McDoPa00,Paul McDonald,23,1981,1984,McDonald
McHaLa00,McHaLa00,Lamar McHan,22,1954,1963,McHan
McMaJi00,McMaJi00,Jim McMahon,23,1982,1996,McMahon
McMaMi00,McMaMi00,Mike McMahon,22,2001,2005,McMahon
McNaDo00,McNaDo00,Donovan McNabb,23,1999,2011,McNabb
McNaSt00,McNaSt00,Steve McNair,22,1995,2007,McNair
McNoCa00,McNoCa00,Cade McNown,22,1999,2000,McNown
MereDo00,MereDo00,Don Meredith,22,1960,1968,Meredith
MillCh00,MillCh00,Chris Miller,22,1987,1999,Miller
MillHu00,MillHu00,Hugh Millen,24,1987,1995,Millen
MillJi00,MillJi00,Jim Miller,24,1995,2002,Miller
MinsGa00,MinsGa00,Gardner Minshew II,23,2019,2021,Minshew II
MireRi00,MireRi00,Rick Mirer,23,1993,2003,Mirer
MitcSc00,MitcSc00,Scott Mitchell,24,1992,2001,Mitchell
MontJo01,MontJo01,Joe Montana,23,1979,1994,Montana
MoonWa00,MoonWa00,Warren Moon,28,1984,2000,Moon
MoorMa01,MoorMa01,Matt Moore,23,2007,2019,Moore
MorrEa00,MorrEa00,Earl Morrall,22,1956,1976,Morrall
MortCr00,MortCr00,Craig Morton,22,1965,1982,Morton
MullNi00,MullNi00,Nick Mullens,23,2018,2021,Mullens
MunsBi00,MunsBi00,Bill Munson,23,1964,1979,Munson
MurrKy00,MurrKy00,Kyler Murray,22,2019,2021,Murray
NamaJo00,NamaJo00,Joe Namath,27,1970,1977,Namath
NelsBi00,NelsBi00,Bill Nelsen,22,1963,1972,Nelsen
NewtCa00,NewtCa00,Cam Newton,22,2011,2021,Newton
NinoJi00,NinoJi00,Jim Ninowski,22,1958,1969,Ninowski
NixxKe00,NixxKe00,Kent Nix,23,1967,1972,Nix
OBriKe00,OBriKe00,Ken O'Brien,24,1984,1993,O'Brien
ODonNe00,ODonNe00,Neil O'Donnell,25,1991,2003,O'Donnell
OrloDa00,OrloDa00,Dan Orlovsky,22,2005,2015,Orlovsky
OrtoKy00,OrtoKy00,Kyle Orton,23,2005,2014,Orton
